,id,bdate,bmonth,dandm
12969,652257,19,9,"19,9"
12970,652316,2,8,"2,8"
12971,652358,6,6,"6,6"
12972,652608,25,6,"25,6"
12973,652722,25,4,"25,4"
12974,652749,13,1,"13,1"
12975,652758,8,1,"8,1"
12976,652806,10,4,"10,4"
12977,652817,3,8,"3,8"
12978,652846,9,7,"9,7"
12979,652908,25,6,"25,6"
12980,652918,19,3,"19,3"
12981,652919,12,4,"12,4"
12982,652961,5,5,"5,5"
12983,652980,3,3,"3,3"
12984,652981,1,11,"1,11"
12985,652983,10,7,"10,7"
12986,652995,20,12,"20,12"
12987,653002,18,2,"18,2"
12988,653081,4,4,"4,4"
12989,653082,22,2,"22,2"
12990,653103,24,7,"24,7"
12991,653128,25,4,"25,4"
12992,653163,8,9,"8,9"
12993,653172,20,3,"20,3"
12994,653175,20,2,"20,2"
12995,653182,3,8,"3,8"
12996,653202,25,6,"25,6"
12997,653247,4,2,"4,2"
12998,653253,8,10,"8,10"
12999,653328,8,10,"8,10"
13000,653424,12,11,"12,11"
13001,653425,17,1,"17,1"
13002,653475,28,2,"28,2"
13003,653495,8,1,"8,1"
13004,653525,18,12,"18,12"
13005,653602,22,11,"22,11"
13006,653616,1,7,"1,7"
13007,653621,13,9,"13,9"
13008,653630,11,4,"11,4"
13009,653661,14,7,"14,7"
13010,653727,13,1,"13,1"
13011,653816,6,6,"6,6"
13012,653835,7,6,"7,6"
13013,653917,16,12,"16,12"
13014,654002,14,1,"14,1"
13015,654359,23,5,"23,5"
13016,654548,9,5,"9,5"
13017,654707,29,4,"29,4"
13018,654748,2,2,"2,2"
13019,654768,7,4,"7,4"
13020,654817,21,2,"21,2"
13021,654919,14,8,"14,8"
13022,655009,26,1,"26,1"
13023,655124,11,7,"11,7"
13024,655169,29,5,"29,5"
13025,655181,18,4,"18,4"
13026,655211,9,7,"9,7"
13027,655342,14,4,"14,4"
13028,655372,12,6,"12,6"
13029,655469,2,7,"2,7"
13030,655525,3,8,"3,8"
13031,655534,4,5,"4,5"
13032,655543,3,4,"3,4"
13033,655547,12,8,"12,8"
13034,655596,18,2,"18,2"
13035,655788,11,3,"11,3"
13036,655932,16,12,"16,12"
13037,655970,22,4,"22,4"
13038,655990,11,2,"11,2"
13039,656054,12,10,"12,10"
13040,656059,29,2,"29,2"
13041,656157,12,8,"12,8"
13042,656402,10,7,"10,7"
13043,656421,18,3,"18,3"
13044,656517,23,12,"23,12"
13045,656568,11,6,"11,6"
13046,656703,3,8,"3,8"
13047,656713,18,12,"18,12"
13048,656806,11,5,"11,5"
13049,656817,25,2,"25,2"
13050,656833,16,7,"16,7"
13051,656894,28,12,"28,12"
13052,656900,10,5,"10,5"
13053,656964,27,5,"27,5"
13054,657099,30,3,"30,3"
13055,657248,15,1,"15,1"
13056,657257,28,12,"28,12"
13057,657270,14,12,"14,12"
13058,657275,30,1,"30,1"
13059,657285,3,12,"3,12"
13060,657311,27,7,"27,7"
13061,657324,1,5,"1,5"
13062,657464,20,12,"20,12"
13063,657465,11,9,"11,9"
13064,657536,28,1,"28,1"
13065,657564,15,7,"15,7"
13066,657605,4,6,"4,6"
13067,657645,15,2,"15,2"
13068,657663,2,2,"2,2"
13069,657747,1,4,"1,4"
13070,657807,13,4,"13,4"
13071,657814,8,5,"8,5"
13072,657898,15,7,"15,7"
13073,658074,6,4,"6,4"
13074,658106,25,10,"25,10"
13075,658112,13,3,"13,3"
13076,658124,17,3,"17,3"
13077,658166,21,12,"21,12"
13078,658167,27,5,"27,5"
13079,658173,27,6,"27,6"
13080,658175,22,9,"22,9"
13081,658209,21,1,"21,1"
13082,658222,3,5,"3,5"
13083,658331,29,1,"29,1"
13084,658473,1,9,"1,9"
13085,658484,7,1,"7,1"
13086,658547,6,7,"6,7"
13087,658568,20,1,"20,1"
13088,658594,30,6,"30,6"
13089,658624,9,11,"9,11"
13090,658735,1,8,"1,8"
13091,659037,13,2,"13,2"
13092,659062,20,4,"20,4"
13093,659083,24,4,"24,4"
13094,659097,4,12,"4,12"
13095,659122,20,5,"20,5"
13096,659133,21,3,"21,3"
13097,659147,26,1,"26,1"
13098,659231,25,12,"25,12"
13099,659295,12,5,"12,5"
13100,659297,22,12,"22,12"
13101,659301,13,2,"13,2"
13102,659303,25,10,"25,10"
13103,659354,29,5,"29,5"
13104,659374,23,7,"23,7"
13105,659451,10,9,"10,9"
13106,659517,10,12,"10,12"
13107,659535,8,11,"8,11"
13108,659538,22,11,"22,11"
13109,659554,27,1,"27,1"
13110,659556,17,11,"17,11"
13111,659571,16,5,"16,5"
13112,659603,2,9,"2,9"
13113,659618,23,11,"23,11"
13114,659679,21,3,"21,3"
13115,659684,31,8,"31,8"
13116,659690,4,9,"4,9"
13117,659725,10,7,"10,7"
13118,659749,7,11,"7,11"
13119,659770,9,9,"9,9"
13120,659844,24,11,"24,11"
13121,659859,27,11,"27,11"
13122,659860,30,4,"30,4"
13123,659910,29,12,"29,12"
13124,659968,14,6,"14,6"
13125,660231,4,10,"4,10"
13126,660237,21,4,"21,4"
13127,660358,30,12,"30,12"
13128,660380,11,7,"11,7"
13129,660621,7,7,"7,7"
13130,660625,28,6,"28,6"
13131,660785,12,9,"12,9"
13132,660786,4,6,"4,6"
13133,660816,20,5,"20,5"
13134,660831,25,8,"25,8"
13135,660858,22,4,"22,4"
13136,660918,27,1,"27,1"
13137,660965,29,8,"29,8"
13138,660967,5,7,"5,7"
13139,660987,19,2,"19,2"
13140,661040,3,6,"3,6"
13141,661053,3,7,"3,7"
13142,661123,3,12,"3,12"
13143,661135,25,8,"25,8"
13144,661234,13,5,"13,5"
13145,661266,12,8,"12,8"
13146,661289,4,3,"4,3"
13147,661380,23,11,"23,11"
13148,661409,28,2,"28,2"
13149,661445,1,8,"1,8"
13150,661454,8,1,"8,1"
13151,661516,18,5,"18,5"
13152,661535,12,9,"12,9"
13153,661696,30,8,"30,8"
13154,661704,21,9,"21,9"
13155,661721,20,6,"20,6"
13156,661798,8,7,"8,7"
13157,661835,17,2,"17,2"
13158,661890,12,10,"12,10"
13159,661996,7,7,"7,7"
